Unnamed: 0,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer,OTR_temperature_Num,OTR_RH_Num
37,Exploring the potentialities of using lignocellulosic fibres derived from three food by-products as constituents of biocomposites for food packaging,,,,,,,525.2688,g/m2day,1296.0,gum/m2daykPa,0.00025,m,20.0,°C,100.0,%,PHBV,individual,None,None,,20.0,100.0
38,Exploring the potentialities of using lignocellulosic fibres derived from three food by-products as constituents of biocomposites for food packaging,,,,,,,1820.9318400000002,g/m2day,4492.8,gum/m2daykPa,0.00025,m,20.0,°C,100.0,%,PHBV,blend,wheat straw fibres,"[‘WSF’, ’20.0’, ’%’]",,20.0,100.0
39,Exploring the potentialities of using lignocellulosic fibres derived from three food by-products as constituents of biocomposites for food packaging,,,,,,,182.093184,g/m2day,449.28,gum/m2daykPa,0.00025,m,20.0,°C,100.0,%,PHBV,blend,olive mills,"[‘OM’, ’20.0’, ’%’]",,20.0,100.0
40,Barrier properties of chitosan coated polyethylene,,,,,1.02e-17,gm/m2Pas,,,,,0.0001,,25.0,°C,0.0,%,polyethylene,coated,chitosan,"[‘CS’, ’2.0’, ‘%’]",,25.0,0.0
41,Barrier properties of chitosan coated polyethylene,,,,,,,62.156808,g/m2day,61.344,gum/m2daykPa,0.0001,,,,,,polyvinyl chloride,individual,None,None,,23.0,50.0
42,Barrier properties of chitosan coated polyethylene,,,,,,,56.904120000000006,g/m2day,56.16,gum/m2daykPa,0.0001,,,,,,polypropylene,individual,None,None,,23.0,50.0
43,Barrier properties of chitosan coated polyethylene,,,,,,,5348.98728,g/m2day,5279.04,gum/m2daykPa,0.0001,,25.0,°C,50.0,%,chitosan,individual,None,None,,25.0,50.0
44,Barrier properties of chitosan coated polyethylene,,,,,,,130.6168416,g/m2day,128.90879999999999,gum/m2daykPa,0.0001,,25.0,°C,50.0,%,chitosan,individual,None,None,,25.0,50.0
45,Barrier properties of chitosan coated polyethylene,,,,,,,4377.24,g/m2day,4320.0,gum/m2daykPa,0.0001,,25.0,°C,52.0,%,methylcellulose,individual,None,None,PEG,25.0,52.0
46,Barrier properties of chitosan coated polyethylene,,,,,,,1925.9856000000002,g/m2day,1900.8000000000002,gum/m2daykPa,0.0001,,,,,,oat starch,individual,None,None,PEG,23.0,50.0
47,Barrier properties of chitosan coated polyethylene,,,,,,,367.68816,g/m2day,362.88,gum/m2daykPa,0.0001,,,,,,oat starch,individual,None,None,PEG,23.0,50.0
48,Barrier properties of chitosan coated polyethylene,,,,,,,15320.34,g/m2day,60480.0,gum/m2daykPa,0.0004,m,21.0,°C,85.0,%,wheat gluten,individual,None,None,,21.0,85.0
49,Barrier properties of chitosan coated polyethylene,,,,,,,114713.87586206896,g/m2day,32832.0,gum/m2daykPa,2.9e-05,m,25.0,°C,52.0,%,amylose,individual,None,None,,25.0,52.0
50,Barrier properties of chitosan coated polyethylene,,,,,,,67701.31199999999,g/m2day,30067.199999999997,gum/m2daykPa,4.5e-05,m,25.0,°C,70.0,%,polyethylene,individual,None,None,,25.0,70.0
51,Barrier properties of chitosan coated polyethylene,378.6052232330301,cm3um/m2dayatm,7.572104464660601,cm3/m2day,,,,,,,5e-05,m,25.0,°C,0.0,%,polyethylene,coated,chitosan,"[‘CS’, ’2.0’, ‘%’]",,25.0,0.0
52,Barrier properties of chitosan coated polyethylene,3.1489172288313507e+21,cm3um/m2dayatm,3.1489172288313508e+19,cm3/m2day,,,,,,,0.0001,,25.0,°C,0.0,%,chitosan,individual,None,None,,25.0,0.0
53,Barrier properties of chitosan coated polyethylene,8.086713505948217e+18,cm3um/m2dayatm,8.086713505948218e+16,cm3/m2day,,,,,,,0.0001,,25.0,°C,0.0,%,chitosan,individual,None,None,,25.0,0.0
